invoice_id,date,product,qty,buy_price,sell_price,customer_id,customer_segment,product_category,transaction_type
1,1400-10-06,زونکن قوطي KW,42.0,238500.0,350000,00001,عمومی,عمومی,sale
2,1400-10-12,کاغذ A4کپي مکس,5.0,705000.0,750000,00001,عمومی,عمومی,sale
3,1400-08-11,مداد تراش روميزي دلي 620,1.0,1950000.0,3000000,00001,عمومی,عمومی,sale
3,1400-08-11,ماژيک وايت برد استدلر مشکي,4.0,227500.0,350000,00001,عمومی,عمومی,sale
3,1400-08-11,ماژيک وردا,48.0,45500.0,70000,00001,عمومی,عمومی,sale
3,1400-08-11,روان نويس استدلر,6.0,195000.0,300000,00001,عمومی,عمومی,sale
3,1400-08-11,گيره پوشه رنگي کرونا,1.0,292500.0,450000,00001,عمومی,عمومی,sale
3,1400-08-11,کاغذ A4کپي مکس,2.0,520000.0,800000,00001,عمومی,عمومی,sale
3,1400-08-11,جوهر استامپ پليکان آبي,1.0,130000.0,200000,00001,عمومی,عمومی,sale
4,1400-09-20,کاغذ A4کپي مکس,5.0,487500.0,750000,00001,عمومی,عمومی,sale
4,1400-09-20,تخته پاکن آميتيس,5.0,52000.0,80000,00001,عمومی,عمومی,sale
5,1400-10-12,چسب استورم چسب نواري,4.0,1.0,80000,00001,عمومی,عمومی,sale
5,1400-10-12,لاک غلط گير سي کلاس,1.0,1.0,80000,00001,عمومی,عمومی,sale
6,1400-10-12,کاغذ A4کپي مکس,1.0,705000.0,850000,00001,عمومی,عمومی,sale
7,1400-10-19,کاغذ يادداشت,1.0,1.0,1000000,00001,عمومی,عمومی,sale
8,1400-10-19,اعصاب سنج کتابي,1.0,45500.0,70000,00001,عمومی,عمومی,sale
9,1400-10-19,جلد کتاب,1.0,1.0,10000,00001,عمومی,عمومی,sale
10,1400-10-19,ماژيک ميکرو وايت برد,36.0,97500.0,150000,00001,عمومی,عمومی,sale
11,1400-10-07,پلنر سررسيد,3.0,383500.0,590000,00001,عمومی,عمومی,sale
11,1400-10-07,تقويم جيبي ميکرو,6.0,97500.0,150000,00001,عمومی,عمومی,sale
12,1400-10-20,پلنر سررسيد,3.0,383500.0,590000,00001,عمومی,عمومی,sale
13,1400-10-26,کاغذ A4کپي مکس,13.0,725833.0,820000,00001,عمومی,عمومی,sale
14,1400-10-29,سرمدادي سيليکوني,40.0,29250.0,45000,00001,عمومی,عمومی,sale
14,1400-10-29,ماژيک وايت برذ شارژي ووک,25.0,36400.0,56000,00001,عمومی,عمومی,sale
14,1400-10-29,يادداشت آيفون APPLE,10.0,162500.0,250000,00001,عمومی,عمومی,sale
14,1400-10-29,مهره چوبي کوچک,10.0,22750.0,35000,00001,عمومی,عمومی,sale
14,1400-10-29,مهره چوبي بزرگ,10.0,42250.0,65000,00001,عمومی,عمومی,sale
14,1400-10-29,پاکن کنکو کوچک رنگي,48.0,1.0,40000,00001,عمومی,عمومی,sale
14,1400-10-29,پاکن کرونا 88102,36.0,1.0,20000,00001,عمومی,عمومی,sale
14,1400-10-29,مداد مشکي پاکن دار BASIC,48.0,26000.0,40000,00001,عمومی,عمومی,sale
14,1400-10-29,مداد مشکي هولو گراف MQ,48.0,26000.0,40000,00001,عمومی,عمومی,sale
14,1400-10-29,خودکار بازي دار,33.0,32500.0,50000,00001,عمومی,عمومی,sale
14,1400-10-29,خودکار فانتزي اسکول فنس,24.0,55250.0,85000,00001,عمومی,عمومی,sale
14,1400-10-29,مداد تراش مدل,17.0,52000.0,80000,00001,عمومی,عمومی,sale
14,1400-10-29,چسب اکريلي OWNER,60.0,39000.0,60000,00001,عمومی,عمومی,sale
14,1400-10-29,ماژيک علامت صدف,36.0,52000.0,80000,00001,عمومی,عمومی,sale
14,1400-10-29,مدادتراش خرگوش,12.0,32500.0,50000,00001,عمومی,عمومی,sale
14,1400-10-29,مداد فشنگي فروزن,48.0,71500.0,110000,00001,عمومی,عمومی,sale
14,1400-10-29,جوهريدک وايت برد,25.0,19500.0,30000,00001,عمومی,عمومی,sale
15,1400-11-02,ماژيک وايت برذ شارژي ووک,1.0,36400.0,56000,00001,عمومی,عمومی,sale
16,1400-11-02,ماژيک وايت برذ شارژي ووک,5.0,65000.0,100000,00001,عمومی,عمومی,sale
16,1400-11-02,کيف کلاسوري ميکرو,3.0,1.0,250000,00001,عمومی,عمومی,sale
16,1400-11-02,کيف طلقي کودکانه,3.0,1.0,250000,00001,عمومی,عمومی,sale
16,1400-11-02,کاغذ A4کپي مکس,3.0,725833.0,800000,00001,عمومی,عمومی,sale
16,1400-11-02,کاغذ کادويي معمولي,11.0,1800.0,25000,00001,عمومی,عمومی,sale
17,1400-11-18,سرمدادي سيليکوني,40.0,29250.0,45000,00001,عمومی,عمومی,sale
17,1400-11-18,پاکن ماهي نمو,35.0,45500.0,70000,00001,عمومی,عمومی,sale
17,1400-11-18,کاموا شش تايي smile,9.0,32500.0,50000,00001,عمومی,عمومی,sale
17,1400-11-18,سرمدادي کره زمين,26.0,19500.0,30000,00001,عمومی,عمومی,sale
17,1400-11-18,مهره چوبي کوچک,10.0,22750.0,35000,00001,عمومی,عمومی,sale
17,1400-11-18,کره تراش دار,12.0,61750.0,95000,00001,عمومی,عمومی,sale
18,1400-11-18,کاغذ A4کپي مکس,5.0,725833.0,800000,00001,عمومی,عمومی,sale
19,1400-11-20,کاغذ A4کپي مکس,10.0,725833.0,780000,00001,عمومی,عمومی,sale
20,1400-11-30,کاغذ A4کپي مکس,15.0,725833.0,800000,00001,عمومی,عمومی,sale
21,1400-12-04,دفتر کلاسوري 26حلقه 200برگ فلزي برجسته,1.0,642200.0,988000,00001,عمومی,عمومی,sale
22,1400-12-04,دفتر روزنامه100برگ,4.0,422500.0,650000,00001,عمومی,عمومی,sale
22,1400-12-04,دفتر کل بزرگ,4.0,1.0,650000,00001,عمومی,عمومی,sale
24,1400-12-14,کاغذ کادويي معمولي,80.0,1800.0,17500,00001,عمومی,عمومی,sale
25,1400-12-16,خط کش نقاله دار ژله اي 30 سانتي,1.0,39000.0,60000,00001,عمومی,عمومی,sale
26,1400-12-16,کاغذA4کپي مکس سيرجان(80gr),30.0,542750.0,835000,00001,عمومی,عمومی,sale
27,1400-12-16,چسب جامد پارسيکار 36گ,1.0,23000.0,150000,00001,عمومی,عمومی,sale
27,1400-12-16,چسب يونوکورن,10.0,1.0,60000,00001,عمومی,عمومی,sale
27,1400-12-16,ماژيک وردا,24.0,45500.0,70000,00001,عمومی,عمومی,sale
27,1400-12-16,سرمدادي کره زمين,72.0,19500.0,30000,00001,عمومی,عمومی,sale
27,1400-12-16,خودکارصدف s1,50.0,3500.0,25000,00001,عمومی,عمومی,sale
27,1400-12-16,مداد فانتزي کارتوني بسته 72,2.0,1.0,2160000,00001,عمومی,عمومی,sale
27,1400-12-16,مداد سر پاکن دار,152.0,26000.0,40000,00001,عمومی,عمومی,sale
27,1400-12-16,دفتر 40 برگ تعاوني,20.0,45500.0,70000,00001,عمومی,عمومی,sale
28,1400-12-17,تقويم روميزي,5.0,97500.0,150000,00001,عمومی,عمومی,sale
28,1400-12-17,سوزن دوخت 24/6 KW,10.0,6800.0,90000,00001,عمومی,عمومی,sale
28,1400-12-17,سوزن ته گرد 3212,10.0,1.0,100000,00001,عمومی,عمومی,sale
28,1400-12-17,پوشه روغني,300.0,21775.0,33500,00001,عمومی,عمومی,sale
28,1400-12-17,کاغذ A4کپي مکس,10.0,725833.0,900000,00001,عمومی,عمومی,sale
28,1400-12-17,پاکت ملخي,500.0,3700.0,3500,00001,عمومی,عمومی,sale
28,1400-12-17,خودکارکنکو فينو آبي,100.0,6050.0,38000,00001,عمومی,عمومی,sale
28,1400-12-17,خودکار کيان 0.1,50.0,16250.0,25000,00001,عمومی,عمومی,sale
28,1400-12-17,کاغذA5 گلد,5.0,226364.0,500000,00001,عمومی,عمومی,sale
29,1401-02-05,کاغذ A4کپي مکس,25.0,725833.0,1250000,00001,عمومی,عمومی,sale
29,1401-02-05,کاغذA5 گلد,30.0,226364.0,750000,00001,عمومی,عمومی,sale
30,1401-01-09,خودکار کيان 0.1,50.0,16250.0,25000,00001,عمومی,عمومی,sale
30,1401-01-09,خودکارکنکو فينو آبي,50.0,6050.0,38500,00001,عمومی,عمومی,sale
30,1401-01-09,کاغذA5 گلد,3.0,226364.0,630000,00001,عمومی,عمومی,sale
31,1401-01-22,کاغذ A4کپي مکس,5.0,725833.0,1120000,00001,عمومی,عمومی,sale
31,1401-01-22,چسب جامد پارسيکار 36گ,1.0,23000.0,206000,00001,عمومی,عمومی,sale
32,1401-01-25,ابر پول,6.0,97500.0,150000,00001,عمومی,عمومی,sale
33,1401-02-07,ببين و پيداکن تي تويز,1.0,715000.0,1100000,00001,عمومی,عمومی,sale
34,1401-02-12,پرينت تک رو,420.0,1.0,12000,00001,عمومی,عمومی,sale
35,1401-02-18,کاغذA5 گلد,10.0,226364.0,599000,00001,عمومی,عمومی,sale
36,1401-02-20,کاغذ A4کپي مکس,1.0,725833.0,1100000,00001,عمومی,عمومی,sale
37,1401-02-20,کاغذ A4کپي مکس,1.0,725833.0,1100000,00001,عمومی,عمومی,sale
38,1401-03-22,چسب استورم نواري جعبه اي,2.0,650000.0,1000000,00001,عمومی,عمومی,sale
38,1401-03-22,پانچ CENMS,2.0,1.0,1300000,00001,عمومی,عمومی,sale
38,1401-03-22,استامپ پليکان,5.0,156000.0,240000,00001,عمومی,عمومی,sale
38,1401-03-22,کاربن A4 پليکان آبي بسته اي,4.0,1100.0,1800000,00001,عمومی,عمومی,sale
39,1401-03-26,زونکن گالينگور 7/5 ميکو,4.0,442000.0,680000,00001,عمومی,عمومی,sale
39,1401-03-26,کاغذA4کپي مکس سيرجان(80gr),4.0,767000.0,1180000,00001,عمومی,عمومی,sale
39,1401-03-26,پاکت سهند دکمه دار A4,10.0,32500.0,50000,00001,عمومی,عمومی,sale
40,1401-04-20,جاچسبي کارا 500ktd,1.0,11.0,2000000,00001,عمومی,عمومی,sale
40,1401-04-20,خط کش 30 سانتي فلزي,1.0,17500.0,350000,00001,عمومی,عمومی,sale
40,1401-04-20,ماشين دوخت کانگورو DS45,1.0,1.0,1200000,00001,عمومی,عمومی,sale
40,1401-04-20,استامپ پيوند نانو,1.0,1.0,400000,00001,عمومی,عمومی,sale
40,1401-04-20,قيچي 6009,1.0,1.0,400000,00001,عمومی,عمومی,sale
40,1401-04-20,قيچي کرونا اداري 3485,1.0,390000.0,600000,00001,عمومی,عمومی,sale
40,1401-04-20,پانچ CENMS,1.0,1.0,1400000,00001,عمومی,عمومی,sale
41,1401-04-27,کاغذ A4کپي مکس,4.0,725833.0,1200000,00001,عمومی,عمومی,sale
42,1401-05-05,کاغذ A4کپي مکس,10.0,725833.0,1250000,00001,عمومی,عمومی,sale
43,1401-05-12,کاغذA4کپي مکس سيرجان(80gr),30.0,812500.0,1250000,00001,عمومی,عمومی,sale
44,1401-05-23,سوزن دوخت 24/6 KW جعبه,1.0,1.0,2200000,00001,عمومی,عمومی,sale
45,1401-05-23,گيره پوشه KW,5.0,36000.0,600000,00001,عمومی,عمومی,sale
45,1401-05-23,استامپ نانو 1148,5.0,250000.0,400000,00001,عمومی,عمومی,sale
45,1401-05-23,خودکار کيان 0.1,50.0,19500.0,30000,00001,عمومی,عمومی,sale
46,1401-06-06,رنگ انگشتي 3رنگ آريا,1.0,253500.0,390000,00001,عمومی,عمومی,sale
46,1401-06-06,مداد12رنگ فسفري آرتيست آريا,1.0,383500.0,590000,00001,عمومی,عمومی,sale
46,1401-06-06,مدادرنگي فابرکاستل 12 مقوايي,1.0,110000.0,1000000,00001,عمومی,عمومی,sale
46,1401-06-06,ماژيک وايت برد ووک 6970840606042,2.0,58500.0,90000,00001,عمومی,عمومی,sale
46,1401-06-06,دفتر طلقي شطرنجي,1.0,130000.0,200000,00001,عمومی,عمومی,sale
46,1401-06-06,گواش 6رنگ طلقي آريا,1.0,273000.0,420000,00001,عمومی,عمومی,sale
46,1401-06-06,چسب جامد 15 پيکاسو,2.0,83850.0,129000,00001,عمومی,عمومی,sale
46,1401-06-06,گل رس 1کيلو,1.0,58500.0,90000,00001,عمومی,عمومی,sale
46,1401-06-06,کلير بوک کرونا 80 برگ,1.0,245000.0,1200000,00001,عمومی,عمومی,sale
46,1401-06-06,مداد فکتيس گرد,1.0,1.0,40000,00001,عمومی,عمومی,sale
46,1401-06-06,مهره چوبي کوچک,1.0,65000.0,100000,00001,عمومی,عمومی,sale
46,1401-06-06,چشم عروسک,2.0,52000.0,80000,00001,عمومی,عمومی,sale
46,1401-06-06,ست هايلايت پاستلي يونيکورن,1.0,487500.0,750000,00001,عمومی,عمومی,sale
46,1401-06-06,مداد پيکاسو نوک گرد,2.0,1.0,40000,00001,عمومی,عمومی,sale
47,1401-06-10,پاکت نخوديA5,70.0,683.0,18000,00001,عمومی,عمومی,sale
47,1401-06-10,غلط گير پليکان 5 ميل,1.0,1.0,50000,00001,عمومی,عمومی,sale
48,1401-06-15,کاغذ A4کپي مکس,10.0,725833.0,1150000,00001,عمومی,عمومی,sale
49,1401-06-16,کاغذ يادداشت,1.0,1.0,90000,00001,عمومی,عمومی,sale
50,1401-06-16,کاغذ يادداشت,1.0,1.0,90000,00001,عمومی,عمومی,sale
51,1401-06-16,هزينه پست,1.0,52000.0,80000,00001,عمومی,عمومی,sale
52,1401-06-16,کاغذ يادداشت,1.0,1.0,90000,00001,عمومی,عمومی,sale
53,1401-06-16,قلم مو 4 تخت,1.0,1.0,220000,00001,عمومی,عمومی,sale
54,1401-06-16,هزينه پست,1.0,52000.0,80000,00001,عمومی,عمومی,sale
55,1401-06-16,قلم مو 4 تخت,1.0,1.0,220000,00001,عمومی,عمومی,sale
56,1401-06-21,خط کش دوعددي شابلون 20cm,25.0,14000.0,100000,00001,عمومی,عمومی,sale
56,1401-06-21,جامدادي 4010 باگاسيس,25.0,383500.0,590000,00001,عمومی,عمومی,sale
56,1401-06-21,مداد پيکاسو تريو,25.0,1.0,50000,00001,عمومی,عمومی,sale
56,1401-06-21,چسب ماتيکي 15گرمي اونر,25.0,97500.0,150000,00001,عمومی,عمومی,sale
56,1401-06-21,قمقمه شيشه اي سرحد,25.0,214500.0,330000,00001,عمومی,عمومی,sale
56,1401-06-21,دفتر نقاشي ميکرو ته چسب  50 ب,25.0,1.0,190000,00001,عمومی,عمومی,sale
56,1401-06-21,دفتر 40 برگ تعاوني,75.0,58500.0,90000,00001,عمومی,عمومی,sale
56,1401-06-21,دفتر  60 برگ تعاوني,50.0,78000.0,120000,00001,عمومی,عمومی,sale
56,1401-06-21,دفترميکرو 80 برگ ته چسب,25.0,162500.0,250000,00001,عمومی,عمومی,sale
56,1401-06-21,مدادرنگي پيکاسو ايراني 12 مقوايي,25.0,377000.0,580000,00001,عمومی,عمومی,sale
56,1401-06-21,خودکار کيان 0.1,75.0,22750.0,35000,00001,عمومی,عمومی,sale
56,1401-06-21,قيچي پنها,25.0,1.0,190000,00001,عمومی,عمومی,sale
56,1401-06-21,پاکن فابر کاستل 30 عددي ابي,25.0,1.0,120000,00001,عمومی,عمومی,sale
56,1401-06-21,مداد تراش واي پلاس,5.0,1.0,120000,00001,عمومی,عمومی,sale
56,1401-06-21,مدادتراش بيضي فابرکاستل,20.0,78000.0,120000,00001,عمومی,عمومی,sale
57,1401-06-27,کارتن پرونده KW,6.0,31320.0,340000,00001,عمومی,عمومی,sale
58,1401-06-28,جوهر استامپ پليکان آبي,12.0,1.0,210000,00001,عمومی,عمومی,sale
59,1401-06-29,گيره پوشه KW,5.0,36000.0,530000,00001,عمومی,عمومی,sale
60,1401-06-29,پاکن اينوکس c30,15.0,32500.0,50000,00001,عمومی,عمومی,sale
60,1401-06-29,مدادمشکي حيوانات پرودان,17.0,32500.0,50000,00001,عمومی,عمومی,sale
61,1401-06-30,حضورغياب بزرگ,1.0,1.0,850000,00001,عمومی,عمومی,sale
62,1401-07-06,کاغذ A4کپي مکس,1.0,725833.0,1280000,00001,عمومی,عمومی,sale
62,1401-07-06,غلط گير 7ميل WOKE,2.0,45500.0,70000,00001,عمومی,عمومی,sale
62,1401-07-06,سوزن ته گرد دينگ لي,1.0,9500.0,100000,00001,عمومی,عمومی,sale
63,1401-07-07,کاغذ گلدن اندونزي,5.0,877500.0,1350000,00001,عمومی,عمومی,sale
63,1401-07-07,کاغذ A4کپي مکس,5.0,725833.0,1250000,00001,عمومی,عمومی,sale
63,1401-07-07,خودکار کنکو تاپ بال استيک,5.0,13500.0,160000,00001,عمومی,عمومی,sale
64,1401-07-10,خودکار کيان 0.1,12.0,22750.0,35000,00001,عمومی,عمومی,sale
64,1401-07-10,خودکار کنکو اکسل گريپ,2.0,39000.0,60000,00001,عمومی,عمومی,sale
64,1401-07-10,ماژيک ميکرو وايت برد,36.0,110500.0,170000,00001,عمومی,عمومی,sale
65,1401-05-11,دفتر 100برگ تعاوني,150.0,107250.0,165000,00001,عمومی,عمومی,sale
65,1401-05-11,دفتر 80 برگ تعاوني,190.0,87750.0,135000,00001,عمومی,عمومی,sale
65,1401-05-11,دفتر  60 برگ تعاوني,240.0,68250.0,105000,00001,عمومی,عمومی,sale
65,1401-05-11,دفتر 40 برگ تعاوني,140.0,48750.0,75000,00001,عمومی,عمومی,sale
65,1401-05-11,دفتر نقاشي 40 برگ تعاوني,50.0,48750.0,75000,00001,عمومی,عمومی,sale
65,1401-05-11,مداد البرز پليمري,168.0,1.0,20000,00001,عمومی,عمومی,sale
65,1401-05-11,مداد قرمز البرز,36.0,1.0,30000,00001,عمومی,عمومی,sale
65,1401-05-11,مداد رنگي آسيا 12 رنگ,60.0,1.0,250000,00001,عمومی,عمومی,sale
65,1401-05-11,خودکار لينک افيکس,458.0,1.0,35000,00001,عمومی,عمومی,sale
65,1401-05-11,مداد تراش کرونا 777,122.0,1.0,47000,00001,عمومی,عمومی,sale
65,1401-05-11,خط کش 20 ژله اي شابلن دار تکي معمولي,79.0,7000.0,60000,00001,عمومی,عمومی,sale
65,1401-05-11,دفتر زبان ميکرو 50 ب,70.0,1.0,170000,00001,عمومی,عمومی,sale
65,1401-05-11,جامدادي 2تکه PK,95.0,130000.0,200000,00001,عمومی,عمومی,sale
65,1401-05-11,چينه کارا 20 عددي,9.0,18500.0,150000,00001,عمومی,عمومی,sale
65,1401-05-11,چوب خط 60 عددي,9.0,97500.0,150000,00001,عمومی,عمومی,sale
65,1401-05-11,ماژيک علامت گشيت,77.0,91000.0,140000,00001,عمومی,عمومی,sale
66,1401-07-16,خودکار کنکو اکسل گريپ,3.0,39000.0,60000,00001,عمومی,عمومی,sale
66,1401-07-16,پايه چسب کارا D200,2.0,227500.0,350000,00001,عمومی,عمومی,sale
66,1401-07-16,پايه چسب کارا 300,1.0,234000.0,360000,00001,عمومی,عمومی,sale
66,1401-07-16,تخته پاکن آميتيس,4.0,97500.0,150000,00001,عمومی,عمومی,sale
66,1401-07-16,قيچي پنها,3.0,1.0,190000,00001,عمومی,عمومی,sale
66,1401-07-16,چسب استحکام 50 ميل,3.0,1.0,150000,00001,عمومی,عمومی,sale
66,1401-07-16,خط کش 30 سانت فلزي,1.0,97500.0,150000,00001,عمومی,عمومی,sale
66,1401-07-16,ماژيک شارژي تيزو,3.0,45500.0,70000,00001,عمومی,عمومی,sale
66,1401-07-16,چسب يونوکورن,10.0,1.0,60000,00001,عمومی,عمومی,sale
66,1401-07-16,پوشه مقواي زرد,1.0,1.0,30000,00001,عمومی,عمومی,sale
66,1401-07-16,کارتن پرونده نخ دار ميکرو,1.0,156000.0,240000,00001,عمومی,عمومی,sale
67,1401-07-27,پرينت تک رو,500.0,1.0,10000,00001,عمومی,عمومی,sale
68,1401-08-03,باطري قلمي کمليون AAع 4,2.0,1.0,330000,00001,عمومی,عمومی,sale
68,1401-08-03,دفتر 80 برگ تعاوني,6.0,117000.0,180000,00001,عمومی,عمومی,sale
68,1401-08-03,ماژيک علامت گشيت,3.0,97500.0,150000,00001,عمومی,عمومی,sale
68,1401-08-03,پاکت نخودي A4,30.0,1032.0,15000,00001,عمومی,عمومی,sale
69,1401-08-03,خودکار دکترپنتر رنگي,8.0,26000.0,40000,00001,عمومی,عمومی,sale
69,1401-08-03,چسب آبريل,10.0,39000.0,60000,00001,عمومی,عمومی,sale
69,1401-08-03,چسب استحکام 100ميل,2.0,1.0,200000,00001,عمومی,عمومی,sale
69,1401-08-03,ماژيک وايت برذ شارژي ووک,11.0,58500.0,90000,00001,عمومی,عمومی,sale
69,1401-08-03,مقوا فابريانو LR,7.0,11000.0,150000,00001,عمومی,عمومی,sale
69,1401-08-03,ماژيک ميکرو وايت برد,24.0,110500.0,170000,00001,عمومی,عمومی,sale
69,1401-08-03,مقوا پشت طوسي100*70,9.0,78000.0,120000,00001,عمومی,عمومی,sale
69,1401-08-03,کاغذA4کپي مکس سيرجان(80gr),2.0,845000.0,1300000,00001,عمومی,عمومی,sale
69,1401-08-03,کاغذ گلدن اندونزي,3.0,780000.0,1200000,00001,عمومی,عمومی,sale
70,1401-08-08,خودکار کيان 0.1,30.0,22750.0,35000,00001,عمومی,عمومی,sale
70,1401-08-08,سوزن دوخت 24/6 KW,2.0,6800.0,130000,00001,عمومی,عمومی,sale
70,1401-08-08,سوزن ته گرد دينگ لي,1.0,9500.0,130000,00001,عمومی,عمومی,sale
70,1401-08-08,تخته پاکن آميتيس,12.0,97500.0,150000,00001,عمومی,عمومی,sale
70,1401-08-08,روان نويس طرح يوني بال مشکي,9.0,143000.0,220000,00001,عمومی,عمومی,sale
70,1401-08-08,پاکن فانتزي,49.0,1.0,90000,00001,عمومی,عمومی,sale
70,1401-08-08,مدادتراش پاک کن اپل,16.0,1.0,130000,00001,عمومی,عمومی,sale
70,1401-08-08,برچسب استيکر بلند برجسته,17.0,58500.0,90000,00001,عمومی,عمومی,sale
70,1401-08-08,خودکار فشاري رنگي کليک,25.0,84500.0,130000,00001,عمومی,عمومی,sale
70,1401-08-08,منچ کوچک مقواي,15.0,10000.0,50000,00001,عمومی,عمومی,sale
70,1401-08-08,برچسب استيکر معمولي,52.0,2000.0,50000,00001,عمومی,عمومی,sale
70,1401-08-08,مداد فانتزي کارتوني,72.0,1.0,30000,00001,عمومی,عمومی,sale
70,1401-08-08,دفتر نقاشي 40 برگ تعاوني,30.0,71500.0,110000,00001,عمومی,عمومی,sale
70,1401-08-08,کاغذA4کپي مکس سيرجان(80gr),5.0,845000.0,1300000,00001,عمومی,عمومی,sale
70,1401-08-08,کاغذ گلدن اندونزي,5.0,780000.0,1200000,00001,عمومی,عمومی,sale
71,1401-06-12,جامدادي ايراني,25.0,7500.0,250000,00001,عمومی,عمومی,sale
71,1401-06-12,مداد فانتزي پاکن دار کيتي,25.0,1.0,40000,00001,عمومی,عمومی,sale
71,1401-06-12,پاکن کرونا 88102,25.0,1.0,30000,00001,عمومی,عمومی,sale
72,1401-06-26,مداد تراش فانتزي مدل,48.0,1.0,110000,00001,عمومی,عمومی,sale
72,1401-06-26,برچسب حيوانات و صد آفرين,4.0,156000.0,240000,00001,عمومی,عمومی,sale
73,1401-07-25,ماژيک ميکرو وايت برد,24.0,110500.0,170000,00001,عمومی,عمومی,sale
73,1401-07-25,چسب غلطکي پنتر,1.0,97500.0,150000,00001,عمومی,عمومی,sale
73,1401-07-25,چسب جامد 35گ لوکينگ,1.0,1.0,350000,00001,عمومی,عمومی,sale
73,1401-07-25,خودکار کنکو مشکي فينو,50.0,24428.0,50000,00001,عمومی,عمومی,sale
73,1401-07-25,خودکارکنکو فينو آبي,50.0,6050.0,50000,00001,عمومی,عمومی,sale
73,1401-07-25,خودکار کنکو فينو قرمز,50.0,1.0,50000,00001,عمومی,عمومی,sale
73,1401-07-25,کاغذرنگي گلاسه بسته اي,1.0,2250.0,70000,00001,عمومی,عمومی,sale
73,1401-07-25,مقوا فابريانو LR,10.0,11000.0,150000,00001,عمومی,عمومی,sale
74,1401-08-17,خودکار بيک آبي مديوم,50.0,1.0,42350,00001,عمومی,عمومی,sale
74,1401-08-17,خودکارکنکو فينو آبي,50.0,6050.0,41000,00001,عمومی,عمومی,sale
75,1401-08-24,کاغذ گلدن اندونزي,50.0,780000.0,1200000,00001,عمومی,عمومی,sale
76,1401-08-24,مداد مشکي ميوه اي پرودان,1.0,377000.0,580000,00001,عمومی,عمومی,sale
76,1401-08-24,خط کش تويو,15.0,1.0,50000,00001,عمومی,عمومی,sale
76,1401-08-24,خط کش چوبي بلند,6.0,12000.0,70000,00001,عمومی,عمومی,sale
76,1401-08-24,مداد تراش فانتزي مدل,15.0,1.0,40000,00001,عمومی,عمومی,sale
76,1401-08-24,آلبوم عکس ديتا,11.0,97500.0,150000,00001,عمومی,عمومی,sale
76,1401-08-24,دفتر نقاشي 40 برگ تعاوني,21.0,65000.0,100000,00001,عمومی,عمومی,sale
76,1401-08-24,پاستل 12رنگ اسکول مکس,6.0,162500.0,250000,00001,عمومی,عمومی,sale
76,1401-08-24,چراغ مطالعه دريس کو,1.0,1.0,2800000,00001,عمومی,عمومی,sale
77,1401-08-24,ماژيک ميکرو وايت برد,60.0,97500.0,150000,00001,عمومی,عمومی,sale
78,1401-06-28,کاغذA4کپي مکس سيرجان(80gr),5.0,845000.0,1300000,00001,عمومی,عمومی,sale
79,1401-09-08,کاغذ گلدن اندونزي,2.0,877500.0,1350000,00001,عمومی,عمومی,sale
79,1401-09-08,چسب جامد 15 پيکاسو,1.0,97500.0,150000,00001,عمومی,عمومی,sale
79,1401-09-08,خودکارکنکو فينو آبي,5.0,6050.0,60000,00001,عمومی,عمومی,sale
79,1401-09-08,خودکار کنکو فينو قرمز,2.0,1.0,60000,00001,عمومی,عمومی,sale
79,1401-09-08,خودکار کنکو مشکي فينو,2.0,24428.0,60000,00001,عمومی,عمومی,sale
79,1401-09-08,مداد پيکاسو تريو,2.0,1.0,50000,00001,عمومی,عمومی,sale
79,1401-09-08,سوزن دوخت 24/6 KW,1.0,6800.0,130000,00001,عمومی,عمومی,sale
79,1401-09-08,چسب نواري G7,1.0,1.0,90000,00001,عمومی,عمومی,sale
80,1401-09-12,کاغذ گلدن اندونزي,5.0,832000.0,1280000,00001,عمومی,عمومی,sale
80,1401-09-12,بادکنک بزرگ,100.0,7800.0,12000,00001,عمومی,عمومی,sale
81,1401-09-12,پوشه روغني,15.0,39000.0,60000,00001,عمومی,عمومی,sale
82,1401-08-14,ماژيک علامت گشيت,4.0,97500.0,150000,00001,عمومی,عمومی,sale
82,1401-08-14,ماژيک وايت پيکاسو,2.0,97500.0,150000,00001,عمومی,عمومی,sale
82,1401-08-14,ماژيک ميکرو وايت برد,2.0,110500.0,170000,00001,عمومی,عمومی,sale
82,1401-08-14,ماژيک وايت برد پليکان  قرمز,2.0,1.0,120000,00001,عمومی,عمومی,sale
82,1401-08-14,کليربوک سهند 20برگ,5.0,30000.0,380000,00001,عمومی,عمومی,sale
83,1401-09-22,کاغذA4کپي مکس سيرجان(80gr),35.0,825500.0,1270000,00001,عمومی,عمومی,sale
84,1401-06-29,پاکن کاتري 6043,24.0,78000.0,120000,00001,عمومی,عمومی,sale
84,1401-06-29,پاکن اتودي اوزي,36.0,65000.0,100000,00001,عمومی,عمومی,sale
84,1401-06-29,مداد رنگي فشنگي,36.0,1.0,100000,00001,عمومی,عمومی,sale
84,1401-06-29,مداد فانتزي کارتوني بسته 72,1.0,1.0,1800000,00001,عمومی,عمومی,sale
84,1401-06-29,ساعت شني دانش اموز,24.0,97500.0,150000,00001,عمومی,عمومی,sale
84,1401-06-29,پاکن ماهي نمو,36.0,45500.0,70000,00001,عمومی,عمومی,sale
84,1401-06-29,مداد مشکي هولو گراف MQ,48.0,22750.0,35000,00001,عمومی,عمومی,sale
84,1401-06-29,مدادتراش خرگوش,56.0,52000.0,80000,00001,عمومی,عمومی,sale
